fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C1,,,,,51.621244,-115.608378,2002.0,,,,,,107.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2328.0,,,,,,83.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2238.0,,,,,,86.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2162.0,,,,,,88.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2111.0,,,,,,99.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2071.0,,,,,,127.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2036.0,,,,,,171.0,,,0.35,60.0,20,,31
C1,,,,,51.621244,-115.608378,2046.0,,,,,,189.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2055.0,,,,,,145.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1984.0,,,,,,112.0,,,0.75,,20,,1
O1a,,,,,51.621244,-115.608378,1931.0,,,,,,125.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,1929.0,,,,,,167.0,,,0.8,,20,,2
D1,,,,,51.621244,-115.608378,1926.0,,,,,,179.0,,,,,20,,13
C2,,,,,51.621244,-115.608378,1927.0,,,,,,177.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1923.0,,,,,,152.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1909.0,,,,,,109.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1850.0,,,,,,110.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1827.0,,,,,,124.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1790.0,,,,,,133.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1766.0,,,,,,133.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1722.0,,,,,,137.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1705.0,,,,,,145.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1674.0,,,,,,121.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1574.0,,,,,,119.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1525.0,,,,,,135.0,,,0.8,,20,,2
