fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1496.0,,,,,33.0,345.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1508.0,,,,,37.0,344.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1513.0,,,,,45.0,337.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1538.0,,,,,51.0,339.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1547.0,,,,,54.0,347.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1562.0,,,,,53.0,343.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1590.0,,,,,45.0,339.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1605.0,,,,,41.0,335.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1624.0,,,,,40.0,337.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1634.0,,,,,35.0,350.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1633.0,,,,,35.0,6.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1625.0,,,,,36.0,5.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1630.0,,,,,37.0,10.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1614.0,,,,,40.0,22.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1599.0,,,,,50.0,34.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1569.0,,,,,61.0,33.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1543.0,,,,,66.0,32.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1494.0,,,,,61.0,26.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1481.0,,,,,56.0,15.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1461.0,,,,,66.0,31.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1410.0,,,,,73.0,33.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1355.0,,,,,62.0,10.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1358.0,,,,,53.0,345.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1374.0,,,,,39.0,304.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1446.0,,,,,40.0,243.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1479.0,,,,,51.0,213.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1512.0,,,,,59.0,220.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1548.0,,,,,50.0,219.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1567.0,,,,,40.0,211.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1594.0,,,,,43.0,212.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1617.0,,,,,42.0,210.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1635.0,,,,,37.0,205.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1648.0,,,,,33.0,202.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1658.0,,,,,35.0,226.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1695.0,,,,,39.0,239.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1726.0,,,,,42.0,234.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1756.0,,,,,47.0,222.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1782.0,,,,,60.0,228.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1856.0,,,,,57.0,229.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1877.0,,,,,41.0,209.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1896.0,,,,,54.0,228.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1968.0,,,,,67.0,235.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2024.0,,,,,59.0,213.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2041.0,,,,,62.0,193.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2050.0,,,,,65.0,207.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2096.0,,,,,64.0,221.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2138.0,,,,,57.0,222.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2181.0,,,,,78.0,250.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2291.0,,,,,81.0,265.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2327.0,,,,,18.0,243.0,,,0.75,,20,,1
