fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C1,,,,,51.621244,-115.608378,1918.0,,,,,21.0,307.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1921.0,,,,,12.0,12.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1918.0,,,,,25.0,43.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1886.0,,,,,51.0,54.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1827.0,,,,,51.0,44.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1815.0,,,,,38.0,17.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1814.0,,,,,32.0,36.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1781.0,,,,,32.0,75.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1747.0,,,,,29.0,95.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1720.0,,,,,28.0,103.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1690.0,,,,,46.0,101.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1631.0,,,,,55.0,102.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1584.0,,,,,42.0,105.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1544.0,,,,,54.0,98.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1477.0,,,,,45.0,91.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1449.0,,,,,20.0,43.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1437.0,,,,,35.0,343.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1463.0,,,,,56.0,321.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1511.0,,,,,56.0,328.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1524.0,,,,,54.0,340.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1542.0,,,,,63.0,324.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1599.0,,,,,57.0,322.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1628.0,,,,,39.0,328.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1651.0,,,,,27.0,325.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1657.0,,,,,13.0,19.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1640.0,,,,,21.0,75.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1615.0,,,,,27.0,86.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1584.0,,,,,43.0,92.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1528.0,,,,,43.0,99.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1499.0,,,,,31.0,106.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1467.0,,,,,31.0,107.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1437.0,,,,,42.0,104.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1383.0,,,,,44.0,103.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1349.0,,,,,32.0,111.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1322.0,,,,,44.0,107.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1266.0,,,,,43.0,104.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1238.0,,,,,25.0,103.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1220.0,,,,,26.0,91.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1190.0,,,,,57.0,84.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1101.0,,,,,64.0,77.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1060.0,,,,,45.0,61.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1020.0,,,,,43.0,65.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,980.0,,,,,5.0,63.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1011.0,,,,,29.0,252.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1034.0,,,,,34.0,248.0,,,1.2,,20,,5
